property_type,mukim,scheme_name_area,tenure,land_parcel_area,unit_level,transaction_price,year,income_median_area,area_median_price
Condominium/Apartment,Kuala Lumpur Town Centre,RESIDENSI STAR,Freehold,925.6962944,30,1780000,2024,10655.9521268712,1449000.0
Condominium/Apartment,Mukim Petaling,VISTA KOMANWEL,Freehold,1227.0857856,4,460000,2022,10391.98036882808,452500.0
Condominium/Apartment,Mukim Kuala Lumpur,PANTAI HILLPARK APARTMENT,Leasehold,1345.4888,3,465000,2024,11817.214210903478,492500.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,850.3489216,29,300000,2022,10391.98036882808,375000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1076.39104,6,405000,2022,10391.98036882808,375000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,818.0571904000001,12,415000,2024,10655.9521268712,570000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,990.2797568,10,608000,2021,11221.58385241534,455000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,1280.9053376,5,545000,2022,10990.92508681991,455000.0
Low-Cost Flat,Mukim Petaling,Others,Freehold,656.5985344000001,8,160000,2021,10423.65357921872,375000.0
Town House,Mukim Setapak,Others,Leasehold,1097.9188608,0,410000,2021,9519.48052434457,400000.0
Flat,Mukim Batu,METRO PRIMA -MUTIARA MAGNA,Leasehold,721.1819968,8,240000,2023,11131.878210905812,210000.0
Flat,Mukim Batu,PUSAT KEPONG,Leasehold,934.953257344,2,180000,2022,10518.458089229382,192500.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,721.1819968,17,285000,2023,11404.069648861696,455000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1270.1414272,11,780000,2025,11817.214210903478,455000.0
Low-Cost Flat,Mukim Petaling,BANDAR TASIK SELATAN,Leasehold,656.5985344000001,7,240000,2023,10369.28584176086,230000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1076.39104,13,500000,2023,10369.28584176086,375000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1097.9188608,5,255000,2025,10346.591314693636,375000.0
Condominium/Apartment,Mukim Batu,SRI PUTRAMAS,Freehold,1097.9188608,11,680000,2024,11745.298332582242,630000.0
Condominium/Apartment,Mukim Setapak,PLATINUM LAKE PV13,Leasehold,1323.9609792,15,600000,2024,10463.175280898877,495000.0
Flat,Mukim Setapak,RAMPAI COURT,Freehold,592.015072,3,215000,2024,10463.175280898877,280000.0
Low-Cost Flat,Mukim Kuala Lumpur,Others,Leasehold,645.8346240000001,1,35000,2023,11404.069648861696,455000.0
Condominium/Apartment,Kuala Lumpur Town Centre,THE ORION,Freehold,624.3068032,20,1365000,2024,10655.9521268712,1553000.0
Condominium/Apartment,Mukim Kuala Lumpur,RESIDENSI HOLMES,Leasehold,1105.9917936,36,500000,2021,11221.58385241534,478000.0
Condominium/Apartment,Mukim Petaling,BUKIT OUG,Freehold,1221.7038304,9,330000,2023,10369.28584176086,350000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1194.7940544,4,410000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Batu,PAVILION HILTOP MONT KIARA,Freehold,1840.6286784,5,1700000,2023,11131.878210905812,1800000.0
Condominium/Apartment,Mukim Petaling,ENDAH REGAL,Leasehold,1140.9745024,1,300000,2023,10369.28584176086,500000.0
Condominium/Apartment,Mukim Kuala Lumpur,RESIDENSI LAMAN PERMAI (GOODWOOD),Leasehold,1280.9053376,37,1148000,2023,11404.069648861696,1046000.0
Town House,Mukim Kuala Lumpur,Others,Freehold,1560.767008,1,900000,2023,11404.069648861696,455000.0
Condominium/Apartment,Mukim Kuala Lumpur,SUASANA LUMAYAN CONDO(CASA IMPIAN),Leasehold,1140.9745024,7,480000,2023,11404.069648861696,495000.0
Condominium/Apartment,Mukim Petaling,BUKIT OUG,Freehold,790.932136192,7,280000,2021,10423.65357921872,350000.0
Condominium/Apartment,Mukim Batu,RESIDENSI SOUTH BROOKS,Freehold,861.112832,12,830000,2021,10852.14496019228,1031000.0
Condominium/Apartment,Kuala Lumpur Town Centre,THE ORION,Freehold,699.654176,23,1636000,2024,10655.9521268712,1552000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,2195.8377216,5,1760000,2025,10655.9521268712,565000.0
Flat,Mukim Batu,TMN SRI MURNI MEDIUM COST FLAT,Leasehold,796.5293696,3,200000,2022,10518.458089229382,185000.0
Flat,Kuala Lumpur Town Centre,PANGSAPURI BANDAR BARU SENTUL,Leasehold,559.7233408,2,175000,2021,10310.3500074107,214000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,818.0571904000001,4,580000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Batu,PAVILION HILTOP MONT KIARA,Freehold,1840.6286784,20,1800000,2022,10518.458089229382,1800000.0
Condominium/Apartment,Mukim Batu,TRINITY PENTAMONT MONT KIARA,Freehold,2034.3790656,27,1638000,2023,11131.878210905812,1649000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,2238.8933632,11,1170000,2025,11745.298332582244,580000.0
Condominium/Apartment,Mukim Setapak,SRI SUAJAYA KONDO,Freehold,968.751936,8,270000,2023,9948.789325842698,335000.0
Low-Cost Flat,Mukim Setapak,Others,Leasehold,645.8346240000001,1,156000,2025,10463.175280898877,400000.0
Low-Cost Flat,Mukim Petaling,TAMAN SRI SENTOSA (LC),Leasehold,699.654176,4,180000,2023,10369.28584176086,195000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,1011.8075776,7,310000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1001.0436672,12,445000,2024,10346.591314693636,375000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,854.9774030720001,2,230000,2024,11745.298332582242,580000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1571.5309184,12,890000,2023,11404.069648861696,455000.0
